ERROR 2023-03-29 09:15:01,627 [AppLog] 发送设备请求信息异常：无法连接到远程服务器
ERROR 2023-03-29 09:30:47,073 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:31:08,188 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:31:08,188 [AppLog] 定时任务结束时间:2023-03-29 09:31:08
INFO  2023-03-29 09:31:26,022 [AppLog] 定时任务开始时间:2023-03-29 09:31:26
ERROR 2023-03-29 09:31:47,090 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:32:08,202 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:32:08,202 [AppLog] 定时任务结束时间:2023-03-29 09:32:08
INFO  2023-03-29 09:32:26,028 [AppLog] 定时任务开始时间:2023-03-29 09:32:26
ERROR 2023-03-29 09:32:47,104 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:33:08,234 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:33:08,234 [AppLog] 定时任务结束时间:2023-03-29 09:33:08
INFO  2023-03-29 09:33:26,023 [AppLog] 定时任务开始时间:2023-03-29 09:33:26
ERROR 2023-03-29 09:33:47,087 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:34:08,224 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:34:08,224 [AppLog] 定时任务结束时间:2023-03-29 09:34:08
INFO  2023-03-29 09:34:26,023 [AppLog] 定时任务开始时间:2023-03-29 09:34:26
ERROR 2023-03-29 09:34:47,081 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:35:08,218 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:35:08,218 [AppLog] 定时任务结束时间:2023-03-29 09:35:08
INFO  2023-03-29 09:35:26,034 [AppLog] 定时任务开始时间:2023-03-29 09:35:26
ERROR 2023-03-29 09:35:47,094 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:36:08,198 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:36:08,198 [AppLog] 定时任务结束时间:2023-03-29 09:36:08
INFO  2023-03-29 09:36:26,028 [AppLog] 定时任务开始时间:2023-03-29 09:36:26
ERROR 2023-03-29 09:36:47,088 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:37:08,196 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:37:08,196 [AppLog] 定时任务结束时间:2023-03-29 09:37:08
INFO  2023-03-29 09:37:26,024 [AppLog] 定时任务开始时间:2023-03-29 09:37:26
ERROR 2023-03-29 09:37:47,093 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:38:08,228 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:38:08,229 [AppLog] 定时任务结束时间:2023-03-29 09:38:08
INFO  2023-03-29 09:38:26,023 [AppLog] 定时任务开始时间:2023-03-29 09:38:26
ERROR 2023-03-29 09:38:47,083 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:39:08,301 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:39:08,301 [AppLog] 定时任务结束时间:2023-03-29 09:39:08
INFO  2023-03-29 09:39:26,029 [AppLog] 定时任务开始时间:2023-03-29 09:39:26
ERROR 2023-03-29 09:39:47,091 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:40:08,213 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:40:08,213 [AppLog] 定时任务结束时间:2023-03-29 09:40:08
INFO  2023-03-29 09:40:26,033 [AppLog] 定时任务开始时间:2023-03-29 09:40:26
ERROR 2023-03-29 09:40:47,117 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:41:08,302 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:41:08,303 [AppLog] 定时任务结束时间:2023-03-29 09:41:08
INFO  2023-03-29 09:41:26,028 [AppLog] 定时任务开始时间:2023-03-29 09:41:26
ERROR 2023-03-29 09:41:47,077 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:42:08,222 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:42:08,222 [AppLog] 定时任务结束时间:2023-03-29 09:42:08
INFO  2023-03-29 09:42:26,027 [AppLog] 定时任务开始时间:2023-03-29 09:42:26
ERROR 2023-03-29 09:42:47,098 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:43:08,235 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:43:08,235 [AppLog] 定时任务结束时间:2023-03-29 09:43:08
INFO  2023-03-29 09:43:26,024 [AppLog] 定时任务开始时间:2023-03-29 09:43:26
ERROR 2023-03-29 09:43:47,118 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:44:08,285 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:44:08,285 [AppLog] 定时任务结束时间:2023-03-29 09:44:08
INFO  2023-03-29 09:44:26,032 [AppLog] 定时任务开始时间:2023-03-29 09:44:26
ERROR 2023-03-29 09:44:47,103 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:45:08,304 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:45:08,304 [AppLog] 定时任务结束时间:2023-03-29 09:45:08
INFO  2023-03-29 09:45:26,032 [AppLog] 定时任务开始时间:2023-03-29 09:45:26
ERROR 2023-03-29 09:45:47,128 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:46:08,281 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:46:08,281 [AppLog] 定时任务结束时间:2023-03-29 09:46:08
INFO  2023-03-29 09:46:26,022 [AppLog] 定时任务开始时间:2023-03-29 09:46:26
ERROR 2023-03-29 09:46:47,081 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:47:08,235 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:47:08,235 [AppLog] 定时任务结束时间:2023-03-29 09:47:08
INFO  2023-03-29 09:47:26,022 [AppLog] 定时任务开始时间:2023-03-29 09:47:26
ERROR 2023-03-29 09:47:47,096 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:48:08,222 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:48:08,222 [AppLog] 定时任务结束时间:2023-03-29 09:48:08
INFO  2023-03-29 09:48:26,025 [AppLog] 定时任务开始时间:2023-03-29 09:48:26
ERROR 2023-03-29 09:48:47,101 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:49:08,227 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:49:08,227 [AppLog] 定时任务结束时间:2023-03-29 09:49:08
INFO  2023-03-29 09:49:26,025 [AppLog] 定时任务开始时间:2023-03-29 09:49:26
ERROR 2023-03-29 09:49:47,074 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:50:08,181 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:50:08,182 [AppLog] 定时任务结束时间:2023-03-29 09:50:08
INFO  2023-03-29 09:50:26,028 [AppLog] 定时任务开始时间:2023-03-29 09:50:26
ERROR 2023-03-29 09:50:47,114 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:51:08,290 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:51:08,290 [AppLog] 定时任务结束时间:2023-03-29 09:51:08
INFO  2023-03-29 09:51:26,025 [AppLog] 定时任务开始时间:2023-03-29 09:51:26
ERROR 2023-03-29 09:51:47,104 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:52:08,237 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:52:08,237 [AppLog] 定时任务结束时间:2023-03-29 09:52:08
INFO  2023-03-29 09:52:26,027 [AppLog] 定时任务开始时间:2023-03-29 09:52:26
ERROR 2023-03-29 09:52:47,077 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:53:08,170 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:53:08,170 [AppLog] 定时任务结束时间:2023-03-29 09:53:08
INFO  2023-03-29 09:53:26,027 [AppLog] 定时任务开始时间:2023-03-29 09:53:26
ERROR 2023-03-29 09:53:47,085 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:54:08,493 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:54:08,493 [AppLog] 定时任务结束时间:2023-03-29 09:54:08
INFO  2023-03-29 09:54:26,031 [AppLog] 定时任务开始时间:2023-03-29 09:54:26
ERROR 2023-03-29 09:54:47,094 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:55:08,200 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:55:08,200 [AppLog] 定时任务结束时间:2023-03-29 09:55:08
INFO  2023-03-29 09:55:26,033 [AppLog] 定时任务开始时间:2023-03-29 09:55:26
ERROR 2023-03-29 09:55:47,104 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:56:08,244 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:56:08,244 [AppLog] 定时任务结束时间:2023-03-29 09:56:08
INFO  2023-03-29 09:56:26,023 [AppLog] 定时任务开始时间:2023-03-29 09:56:26
ERROR 2023-03-29 09:56:47,109 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:57:08,306 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:57:08,307 [AppLog] 定时任务结束时间:2023-03-29 09:57:08
INFO  2023-03-29 09:57:26,025 [AppLog] 定时任务开始时间:2023-03-29 09:57:26
ERROR 2023-03-29 09:57:47,127 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 09:58:08,326 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-29 09:58:08,327 [AppLog] 定时任务结束时间:2023-03-29 09:58:08
INFO  2023-03-29 09:58:26,022 [AppLog] 定时任务开始时间:2023-03-29 09:58:26
INFO  2023-03-29 10:17:56,844 [AppLog] F:\develop\Rvnc\DevManager-fm4.0\DevManager\bin\Debug\\tvnserver -reinstall -silent
ERROR 2023-03-29 10:18:20,526 [AppLog] 发送设备请求信息异常：无法连接到远程服务器
ERROR 2023-03-29 10:18:41,570 [AppLog] 请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 10:19:02,799 [AppLog] http://192.168.1.4:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 10:19:23,880 [AppLog] 请求发生了错误：无法连接到远程服务器
ERROR 2023-03-29 10:19:44,957 [AppLog] 【主窗体】获取禁止应用程序数据发生异常：无法连接到远程服务器
INFO  2023-03-29 10:33:04,257 [AppLog] F:\develop\Rvnc\DevManager-fm4.0\DevManager\bin\Debug\\tvnserver -reinstall
INFO  2023-03-29 10:33:06,903 [AppLog] 获取设备信息成功返回{
  "code": 0,
  "msg": "未获取到有效数据",
  "data": [],
  "url": "",
  "wait": 3
}
ERROR 2023-03-29 10:33:06,904 [AppLog] 获取设备信息失败！:未获取到有效数据
INFO  2023-03-29 10:33:16,962 [AppLog] 验证ip返回!{
  "code": 1,
  "msg": "验证ip成功！",
  "data": {
    "ip": "192.168.17.235"
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:33:16,963 [AppLog] 有效ip 为:192.168.17.235
INFO  2023-03-29 10:33:17,008 [AppLog] 验证ip返回!{
  "code": 1,
  "msg": "设置成功！",
  "data": [],
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:33:17,008 [AppLog] 发送成功！:A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C
INFO  2023-03-29 10:33:17,057 [AppLog] 请求返回信息为:{"code":1,"msg":"设置成功！","data":{"UUID":"A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C","device_name":"Royee","location":"Royee","ip":"192.168.17.235","ips":"192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1","mac":"6C-24-08-BE-BB-26","computer_name":"Royee","group":"1","os_version":"Microsoft Windows NT 6.2.9200.0"},"url":"","wait":3}
INFO  2023-03-29 10:33:17,058 [AppLog] 请求设备信息返回！{
  "code": 1,
  "msg": "设置成功！",
  "data": {
    "UUID": "A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C",
    "device_name": "Royee",
    "location": "Royee",
    "ip": "192.168.17.235",
    "ips": "192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1",
    "mac": "6C-24-08-BE-BB-26",
    "computer_name": "Royee",
    "group": "1",
    "os_version": "Microsoft Windows NT 6.2.9200.0"
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:33:17,058 [AppLog] 设备信息保存成功！
INFO  2023-03-29 10:33:17,091 [AppLog] 获取全局禁止进程数据为：{
  "code": 1,
  "msg": "获取成功！",
  "data": [],
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:41:28,773 [AppLog] 获取设备信息成功返回{
  "code": 1,
  "msg": "获取成功！",
  "data": {
    "id": 18,
    "device_name": "Royee",
    "location": "Royee",
    "group": 1,
    "UUID": "A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C",
    "ip": "192.168.17.235",
    "mac": "6C-24-08-BE-BB-26",
    "ips": "192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1",
    "os_version": "Microsoft Windows NT 6.2.9200.0",
    "status": 1,
    "online": 0,
    "create_time": "2023-03-29 10:33:17",
    "update_time": "2023-03-29 10:33:17",
    "delete_time": null,
    "computer_name": "Royee",
    "mark": null,
    "sort": 10
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:41:38,833 [AppLog] 验证ip返回!{
  "code": 1,
  "msg": "验证ip成功！",
  "data": {
    "ip": "192.168.17.235"
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:41:38,833 [AppLog] 有效ip 为:192.168.17.235
INFO  2023-03-29 10:41:38,879 [AppLog] 验证ip返回!{
  "code": 1,
  "msg": "设置成功！",
  "data": [],
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:41:38,879 [AppLog] 发送成功！:A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C
INFO  2023-03-29 10:41:38,938 [AppLog] 请求返回信息为:{"code":1,"msg":"设置成功！","data":{"UUID":"A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C","device_name":"Royee","location":"Royee","ip":"192.168.17.235","ips":"192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1","mac":"6C-24-08-BE-BB-26","computer_name":"Royee","group":"1","os_version":"Microsoft Windows NT 6.2.9200.0"},"url":"","wait":3}
INFO  2023-03-29 10:41:38,938 [AppLog] 请求设备信息返回！{
  "code": 1,
  "msg": "设置成功！",
  "data": {
    "UUID": "A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C",
    "device_name": "Royee",
    "location": "Royee",
    "ip": "192.168.17.235",
    "ips": "192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1",
    "mac": "6C-24-08-BE-BB-26",
    "computer_name": "Royee",
    "group": "1",
    "os_version": "Microsoft Windows NT 6.2.9200.0"
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:41:38,938 [AppLog] 设备信息保存成功！
INFO  2023-03-29 10:41:38,972 [AppLog] 获取全局禁止进程数据为：{
  "code": 1,
  "msg": "获取成功！",
  "data": [],
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:44:30,296 [AppLog] F:\develop\Rvnc\DevManager-fm4.0\DevManager\bin\Debug\\tvnserver -reinstall
INFO  2023-03-29 10:44:32,898 [AppLog] 获取设备信息成功返回{
  "code": 1,
  "msg": "获取成功！",
  "data": {
    "id": 18,
    "device_name": "Royee",
    "location": "Royee",
    "group": 1,
    "UUID": "A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C",
    "ip": "192.168.17.235",
    "mac": "6C-24-08-BE-BB-26",
    "ips": "192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1",
    "os_version": "Microsoft Windows NT 6.2.9200.0",
    "status": 1,
    "online": 0,
    "create_time": "2023-03-29 10:33:17",
    "update_time": "2023-03-29 10:33:17",
    "delete_time": null,
    "computer_name": "Royee",
    "mark": null,
    "sort": 10
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:44:42,954 [AppLog] 验证ip返回!{
  "code": 1,
  "msg": "验证ip成功！",
  "data": {
    "ip": "192.168.17.235"
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:44:42,954 [AppLog] 有效ip 为:192.168.17.235
INFO  2023-03-29 10:44:42,988 [AppLog] 验证ip返回!{
  "code": 1,
  "msg": "设置成功！",
  "data": [],
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:44:42,989 [AppLog] 发送成功！:A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C
INFO  2023-03-29 10:44:43,042 [AppLog] 请求返回信息为:{"code":1,"msg":"设置成功！","data":{"UUID":"A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C","device_name":"Royee","location":"Royee","ip":"192.168.17.235","ips":"192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1","mac":"6C-24-08-BE-BB-26","computer_name":"Royee","group":"1","os_version":"Microsoft Windows NT 6.2.9200.0"},"url":"","wait":3}
INFO  2023-03-29 10:44:43,043 [AppLog] 请求设备信息返回！{
  "code": 1,
  "msg": "设置成功！",
  "data": {
    "UUID": "A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C",
    "device_name": "Royee",
    "location": "Royee",
    "ip": "192.168.17.235",
    "ips": "192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1",
    "mac": "6C-24-08-BE-BB-26",
    "computer_name": "Royee",
    "group": "1",
    "os_version": "Microsoft Windows NT 6.2.9200.0"
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:44:43,043 [AppLog] 设备信息保存成功！
INFO  2023-03-29 10:44:43,073 [AppLog] 获取全局禁止进程数据为：{
  "code": 1,
  "msg": "获取成功！",
  "data": [],
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:53:49,411 [AppLog] 获取设备信息成功返回{
  "code": 1,
  "msg": "获取成功！",
  "data": {
    "id": 18,
    "device_name": "Royee",
    "location": "Royee",
    "group": 1,
    "UUID": "A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C",
    "ip": "192.168.17.235",
    "mac": "6C-24-08-BE-BB-26",
    "ips": "192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1",
    "os_version": "Microsoft Windows NT 6.2.9200.0",
    "status": 1,
    "online": 0,
    "create_time": "2023-03-29 10:33:17",
    "update_time": "2023-03-29 10:33:17",
    "delete_time": null,
    "computer_name": "Royee",
    "mark": null,
    "sort": 10
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:54:00,491 [AppLog] 验证ip返回!{
  "code": 1,
  "msg": "验证ip成功！",
  "data": {
    "ip": "192.168.17.235"
  },
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:54:00,492 [AppLog] 有效ip 为:192.168.17.235
INFO  2023-03-29 10:54:00,528 [AppLog] 验证ip返回!{
  "code": 1,
  "msg": "设置成功！",
  "data": [],
  "url": "",
  "wait": 3
}
INFO  2023-03-29 10:54:00,528 [AppLog] 发送成功！:A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C
INFO  2023-03-29 10:54:00,578 [AppLog] 请求返回信息为:{"code":1,"msg":"设置成功！","data":{"UUID":"A0F4-51BF-F4EB-ED73-A6F9-0A0F-C18C-CD9C","device_name":"Royee","location":"Royee","ip":"192.168.17.235","ips":"192.168.48.1|192.168.71.1|192.168.17.235|172.28.48.1","mac":"6C-24-08-BE-BB-26","computer_name":"Royee","group":"1","os_version":"Microsoft Windows NT 6.2.9200.0"},"url":"","wait":3}
